tag,word,pos
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Ya,rg
vr,tienen,vmip000
*,mis,dp0000
*,datos,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,pr000000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
*,que,pr000000
pr,promos,vssp000
vr,tienes,vmip000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,Nesesito,np00000
vr,checarlo,aq0000
*,por,sp000
*,que,cs
vr,estan,vmip000
*,casi,rg
ad,igual,aq0000
*,que,pr000000
*,en,sp000
*,la,da0000
*,tienda,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ng,No,rn
*,gracias,nc0p000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Como,cs
vr,esta,dd0000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Y,cc
*,el,da0000
ad,24,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ad,Cuanto,cs
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,el,da0000
ad,12,z0
pr,pack,nc0s000
*,de,sp000
ad,Modelo,np00000
ad,Especial,np00000
*,en,sp000
pr,$,pi000000
ad,130,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Me,pp000000
vr,puedes,vmip000
vr,mandar,vmn0000
*,una,di0000
pr,promo,nc0s000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,De,sp000
pr,bud,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Cuanto,cs
vr,tardarian,vmip000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,De,sp000
ad,30,z0
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Pero,cc
*,seguro,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Que,cs
ng,no,rn
vr,dura,vmip000
*,mas,rg
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
ng,No,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
vr,vamos,vmip000
*,a,sp000
vr,pagar,vmn0000
ad,completo,aq0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
af,Ok,rn
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,np00000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Disculpa,nc0s000
*,ya,rg
*,casi,rg
*,la,da0000
*,hora,nc0s000
*,y,cc
ng,no,rn
vr,han,vaip000
vr,llegado,vmp0000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,O,cc
vr,pasa,vmip000
*,me,pp000000
*,el,da0000
*,telefono,nc0s000
*,de,sp000
*,el,da0000
*,repartidor,nc0s000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
*,Gracias,np00000
af,ya,rg
vr,llego,vmis000
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
pr,Promociones,np00000
*,?,fit
-,-,-
-,-,-
-,-,-
-,-,-
-,-,-
